id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;凱瑞;羅;修潔.閻@yahoo.com;man Burien;2023-06-18T11:09:51;47511;40578
2;嘉懿;許;雪松_沈@yahoo.com;override joyful;2023-06-18T04:11:27;88172;98304
3;子默;尹;黎昕38@hotmail.com;Product;2023-06-19T02:14:43;47553;71880
4;文博;董;鑫鵬83@gmail.com;Home whoa;2023-06-18T10:43:12;86530;79719
5;修傑;龍;金鑫.姚@gmail.com;online deposit input;2023-06-18T09:04:12;10211;16594
6;立果;馮;睿淵.盧@gmail.com;where Savings;2023-06-18T10:43:26;84419;73941
7;笑愚;廖;智宸_嚴13@gmail.com;Factors deposit teal;2023-06-19T00:03:44;27517;17952
8;笑愚;馮;金鑫_史@hotmail.com;Sedan South;2023-06-18T20:12:17;17456;46709
9;思源;廖;智輝76@hotmail.com;Elegant Trial;2023-06-18T11:38:48;6846;81477
10;風華;金;明杰16@hotmail.com;Northeast;2023-06-18T04:32:13;95214;81980
